tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
1356,41.300916,42.842684,6.305032,0.032637,0.804387,0.441696,0.441805,6.1233,0.568214,0.568216,14.560994,14.560891,0.024026,0.024021,713
1357,72.484824,98.369410,5.744651,0.054023,1.227131,0.370218,0.380004,1.1668,0.352769,0.276616,29.826312,26.869118,0.012496,0.010968,391
1358,69.553294,63.464093,11.474888,0.032677,0.657870,0.336955,0.336982,79.1623,0.709025,0.713412,19.341153,19.202901,0.018036,0.017906,874
1359,37.134777,50.990802,0.706575,0.023922,0.537982,0.360727,0.364572,38.4481,0.154452,0.159910,6.475166,6.625351,0.024196,0.024515,713
1360,23.425945,18.210866,5.691898,0.038574,0.407145,0.323300,0.332721,287.4874,0.919244,0.912778,2.238049,2.378855,0.030983,0.032140,1035
1361,67.981512,82.776482,2.228520,0.033348,0.696846,0.276588,0.279624,1.1260,0.262148,0.219750,18.485444,16.791820,0.020753,0.018628,391
1362,66.439705,48.929566,17.816187,0.051822,0.117950,0.340859,0.550748,1.1137,0.996775,0.933242,0.222828,2.983986,0.001256,0.008991,391
1363,27.852868,24.089839,8.312390,0.054380,1.405506,0.433914,0.434009,30.3616,0.754255,0.754184,10.397487,10.398885,0.021976,0.022019,713
1364,48.933514,52.076344,6.086482,0.058631,1.465342,0.236108,0.236298,0.5328,0.589286,0.589314,23.036878,23.036311,0.027807,0.027785,393
1365,68.666274,57.547135,13.224769,0.047044,0.398952,0.312000,0.312838,2.7662,0.862184,0.860556,9.550699,9.629947,0.016273,0.016327,393
1366,75.892664,57.853495,24.960380,0.056741,0.816136,0.511645,0.511961,3.1622,0.820815,0.826622,17.939349,17.569922,0.007459,0.007305,714
1367,29.391753,28.117514,6.957334,0.026376,0.966770,0.537209,0.537306,8.3802,0.654054,0.654007,10.658483,10.658852,0.023756,0.023769,716
1368,74.884960,61.170912,16.320895,0.023416,0.269618,0.513777,0.514585,1.4138,0.819981,0.831258,10.203775,9.793434,0.013136,0.012591,391
1369,31.617429,31.345501,2.579780,0.043960,0.728392,0.178694,0.178702,0.0013,0.634145,0.633987,10.150658,10.151982,0.078013,0.077871,391
1370,33.605517,45.436113,0.350235,0.051252,1.371774,0.157760,0.160959,0.8823,0.123131,0.131687,8.017365,8.404086,0.032804,0.033668,553
1371,39.620406,45.150270,2.823548,0.056383,0.485266,0.403556,0.403556,31.9918,0.410265,0.410550,10.731070,10.732760,0.034908,0.034911,713
1372,24.314403,32.491432,2.041818,0.023108,1.440873,0.362944,0.362971,2.4822,0.355253,0.357408,10.868499,10.891513,0.035154,0.035179,874
1373,38.201857,37.246327,5.498738,0.043123,0.351512,0.533192,0.533353,97.8611,0.612615,0.612597,8.673315,8.673340,0.031710,0.031706,874
